gen_str,cif,model_name,spacegroup_number,relaxed_energy,relaxed_cif,e_above_hull,actual_spacegroup,is_unique0.1,is_novel0.1,sun_0.1
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Ag4
Spacegroup: P1
abc: 4.59 4.67 6.93
angles: 70.00 89.94 70.54
Sites (4)
Ag 0.371 0.034 0.487 1a
Ag 0.440 0.023 0.029 1a
Ag 0.956 0.983 0.751 1a
Ag 0.872 0.945 0.236 1a","# generated using pymatgen
data_Ag
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.59000000
_cell_length_b   4.67000000
_cell_length_c   6.93000000
_cell_angle_alpha   70.00000000
_cell_angle_beta   89.94000000
_cell_angle_gamma   70.54000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ag
_chemical_formula_sum   Ag4
_cell_volume   130.54127976
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.37100000  0.03400000  0.48700000  1
  Ag  Ag1  1  0.44000000  0.02300000  0.02900000  1
  Ag  Ag2  1  0.95600000  0.98300000  0.75100000  1
  Ag  Ag3  1  0.87200000  0.94500000  0.23600000  1
",7b,1,-11.27961540222168,"# generated using pymatgen
data_Ag
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.17756607
_cell_length_b   2.89359556
_cell_length_c   5.78980292
_cell_angle_alpha   63.16078568
_cell_angle_beta   86.88903331
_cell_angle_gamma   68.89003745
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ag
_chemical_formula_sum   Ag4
_cell_volume   71.58927824
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.41018235  -0.00546715  0.50179118  1
  Ag  Ag1  1  0.41087162  -0.00673406  0.00128790  1
  Ag  Ag2  1  0.91014067  0.99830406  0.74922936  1
  Ag  Ag3  1  0.90919824  0.99928969  0.24971813  1
",0.0126521527779135,2.0,,,
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Pr2Ga2Au2
Spacegroup: P1
abc: 4.57 4.60 7.29
angles: 105.74 104.81 90.02
Sites (6)
Pr 0.745 0.043 0.256 1a
Pr 0.236 0.949 0.743 1a
Ga 0.516 0.561 0.003 1a
Ga 0.484 0.438 0.502 1a
Au 0.978 0.559 0.498 1a
Au 0.019 0.437 0.993 1a","# generated using pymatgen
data_PrGaAu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.57000000
_cell_length_b   4.60000000
_cell_length_c   7.29000000
_cell_angle_alpha   105.74000000
_cell_angle_beta   104.81000000
_cell_angle_gamma   90.02000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrGaAu
_chemical_formula_sum   'Pr2 Ga2 Au2'
_cell_volume   142.20313645
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Au  Au0  1  0.97800000  0.55900000  0.49800000  1
  Au  Au1  1  0.01900000  0.43700000  0.99300000  1
  Ga  Ga2  1  0.51600000  0.56100000  0.00300000  1
  Ga  Ga3  1  0.48400000  0.43800000  0.50200000  1
  Pr  Pr4  1  0.74500000  0.04300000  0.25600000  1
  Pr  Pr5  1  0.23600000  0.94900000  0.74300000  1
",7b,1,-26.677146911621094,"# generated using pymatgen
data_PrGaAu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.58834076
_cell_length_b   3.78692392
_cell_length_c   8.05298732
_cell_angle_alpha   90.22819105
_cell_angle_beta   90.00125596
_cell_angle_gamma   90.27737335
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrGaAu
_chemical_formula_sum   'Pr2 Ga2 Au2'
_cell_volume   139.92352124
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.58231589  0.00065246  0.25162177  1
  Pr  Pr1  1  0.08291771  0.99953962  0.75107288  1
  Ga  Ga2  1  0.58301719  0.50292655  -0.08581646  1
  Ga  Ga3  1  0.58214244  0.49789327  0.58872459  1
  Au  Au4  1  1.08259553  0.49980274  0.42707589  1
  Au  Au5  1  0.08262913  0.50076727  1.07530969  1
",-0.0244414627701816,6.0,True,True,True
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Sm2Au6
Spacegroup: P1
abc: 4.95 5.36 6.81
angles: 117.74 114.12 91.01
Sites (8)
Sm 0.677 0.674 0.498 1a
Sm 0.994 0.996 0.010 1a","# generated using pymatgen
data_Sm
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.95000000
_cell_length_b   5.36000000
_cell_length_c   6.81000000
_cell_angle_alpha   117.74000000
_cell_angle_beta   114.12000000
_cell_angle_gamma   91.01000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sm
_chemical_formula_sum   Sm2
_cell_volume   141.04110822
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sm  Sm0  1  0.67700000  0.67400000  0.49800000  1
  Sm  Sm1  1  0.99400000  0.99600000  0.01000000  1
",7b,1,-9.41342544555664,"# generated using pymatgen
data_Sm
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.62679843
_cell_length_b   3.62643760
_cell_length_c   5.13124279
_cell_angle_alpha   89.95594507
_cell_angle_beta   89.94241332
_cell_angle_gamma   89.98156031
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sm
_chemical_formula_sum   Sm2
_cell_volume   67.48788560
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sm  Sm0  1  0.58476345  0.58559421  0.50335409  1
  Sm  Sm1  1  1.08522224  1.08510339  0.00462227  1
",0.0118734122216794,129.0,,,
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Bi8Se6
Spacegroup: P1
abc: 6.81 6.87 10.37
angles: 74.82 89.00 60.68
Sites (14)
Bi 0.885 0.170 0.229 1a
Bi 0.924 0.144 0.791 1a
Bi 0.813 0.490 0.469 1a
Bi 0.100 0.839 0.794 1a
Bi 0.764 0.383 0.915 1a
Bi 0.277 0.821 0.981 1a
Bi 0.167 0.686 0.541 1a
Bi 0.715 0.941 0.207 1a
Se 0.165 0.876 0.440 1a
Se 0.040 0.022 0.111 1a
Se 0.472 0.542 0.367 1a
Se 0.283 0.692 0.724 1a
Se 0.730 0.184 0.847 1a
Se 0.510 0.763 0.138 1a","# generated using pymatgen
data_Bi4Se3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.81000000
_cell_length_b   6.87000000
_cell_length_c   10.37000000
_cell_angle_alpha   74.82000000
_cell_angle_beta   89.00000000
_cell_angle_gamma   60.68000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Bi4Se3
_chemical_formula_sum   'Bi8 Se6'
_cell_volume   404.69546528
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Bi  Bi0  1  0.88500000  0.17000000  0.22900000  1
  Bi  Bi1  1  0.92400000  0.14400000  0.79100000  1
  Bi  Bi2  1  0.81300000  0.49000000  0.46900000  1
  Bi  Bi3  1  0.10000000  0.83900000  0.79400000  1
  Bi  Bi4  1  0.76400000  0.38300000  0.91500000  1
  Bi  Bi5  1  0.27700000  0.82100000  0.98100000  1
  Bi  Bi6  1  0.16700000  0.68600000  0.54100000  1
  Bi  Bi7  1  0.71500000  0.94100000  0.20700000  1
  Se  Se8  1  0.16500000  0.87600000  0.44000000  1
  Se  Se9  1  0.04000000  0.02200000  0.11100000  1
  Se  Se10  1  0.47200000  0.54200000  0.36700000  1
  Se  Se11  1  0.28300000  0.69200000  0.72400000  1
  Se  Se12  1  0.73000000  0.18400000  0.84700000  1
  Se  Se13  1  0.51000000  0.76300000  0.13800000  1
",7b,1,,,,,,,
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Sm4
Spacegroup: P1
abc: 4.30 4.30 12.48
angles: 89.97 89.94 60.09
Sites (4)
Sm 0.364 0.361 0.374 1a
Sm 0.644 0.645 0.628 1a
Sm 0.367 0.368 0.129 1a
Sm 0.633 0.631 0.865 1a","# generated using pymatgen
data_Sm
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.30000000
_cell_length_b   4.30000000
_cell_length_c   12.48000000
_cell_angle_alpha   89.97000000
_cell_angle_beta   89.94000000
_cell_angle_gamma   60.09000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sm
_chemical_formula_sum   Sm4
_cell_volume   200.02074367
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sm  Sm0  1  0.36400000  0.36100000  0.37400000  1
  Sm  Sm1  1  0.64400000  0.64500000  0.62800000  1
  Sm  Sm2  1  0.36700000  0.36800000  0.12900000  1
  Sm  Sm3  1  0.63300000  0.63100000  0.86500000  1
",7b,1,-18.83198356628418,"# generated using pymatgen
data_Sm
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.65172459
_cell_length_b   3.65271017
_cell_length_c   12.50346956
_cell_angle_alpha   107.17129407
_cell_angle_beta   107.12989041
_cell_angle_gamma   60.00720524
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sm
_chemical_formula_sum   Sm4
_cell_volume   135.81385288
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sm  Sm0  1  0.25301768  0.25238238  0.37417406  1
  Sm  Sm1  1  0.75367685  0.75467160  0.62460012  1
  Sm  Sm2  1  0.41450851  0.41677483  0.12367878  1
  Sm  Sm3  1  0.58392728  0.58356900  0.87374279  1
",0.0105902434289548,1.0,,,
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Nd1Ge4Rh3
Spacegroup: Pm
abc: 4.28 4.30 7.30
angles: 90.00 90.07 90.00
Sites (8)
Nd 0.999 0.500 0.745 1b
Ge 0.593 0.500 0.928 1b
Ge 0.106 0.000 0.926 1a
Ge 0.592 0.000 0.429 1a
Ge 0.105 0.500 0.427 1b
Rh 0.746 0.500 0.254 1b
Rh 0.253 0.000 0.256 1a
Rh 0.753 0.000 0.746 1a","# generated using pymatgen
data_NdGe4Rh3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.28000000
_cell_length_b   4.30000000
_cell_length_c   7.30000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.07000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NdGe4Rh3
_chemical_formula_sum   'Nd1 Ge4 Rh3'
_cell_volume   134.34909973
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ge  Ge0  1  0.59300000  0.50000000  0.92800000  1
  Ge  Ge1  1  0.10600000  0.00000000  0.92600000  1
  Ge  Ge2  1  0.59200000  -0.00000000  0.42900000  1
  Ge  Ge3  1  0.10500000  0.50000000  0.42700000  1
  Nd  Nd4  1  0.99900000  0.50000000  0.74500000  1
  Rh  Rh5  1  0.74600000  0.50000000  0.25400000  1
  Rh  Rh6  1  0.25300000  -0.00000000  0.25600000  1
  Rh  Rh7  1  0.75300000  0.00000000  0.74600000  1
",7b,1,-48.86910629272461,"# generated using pymatgen
data_NdGe4Rh3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.32623367
_cell_length_b   4.20853289
_cell_length_c   7.83812264
_cell_angle_alpha   89.84095149
_cell_angle_beta   92.18807860
_cell_angle_gamma   90.22263317
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NdGe4Rh3
_chemical_formula_sum   'Nd1 Ge4 Rh3'
_cell_volume   142.60383534
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nd  Nd0  1  0.89176608  0.50043724  0.69765547  1
  Ge  Ge1  1  0.39496702  0.50110127  1.00246151  1
  Ge  Ge2  1  -0.10535074  0.00028958  0.99974495  1
  Ge  Ge3  1  0.91243763  0.00124976  0.40776918  1
  Ge  Ge4  1  0.39640886  0.50025976  0.40839175  1
  Rh  Rh5  1  0.88493063  0.50185817  0.20715806  1
  Rh  Rh6  1  0.38149999  0.00255318  0.20396930  1
  Rh  Rh7  1  0.38915124  0.00081552  0.82690692  1
",0.2757270512219261,1.0,,,
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
K1Cr1S2
Spacegroup: P1
abc: 4.00 4.00 6.67
angles: 84.68 76.74 60.85
Sites (4)
K 0.239 0.227 0.499 1a
Cr 0.845 0.579 0.966 1a
S 0.413 0.729 0.791 1a
S 0.151 0.938 0.199 1a","# generated using pymatgen
data_KCrS2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.00000000
_cell_length_b   4.00000000
_cell_length_c   6.67000000
_cell_angle_alpha   84.68000000
_cell_angle_beta   76.74000000
_cell_angle_gamma   60.85000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   KCrS2
_chemical_formula_sum   'K1 Cr1 S2'
_cell_volume   90.69608191
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.84500000  0.57900000  0.96600000  1
  K  K1  1  0.23900000  0.22700000  0.49900000  1
  S  S2  1  0.41300000  0.72900000  0.79100000  1
  S  S3  1  0.15100000  0.93800000  0.19900000  1
",7b,1,-22.737213134765625,"# generated using pymatgen
data_KCrS2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.63895912
_cell_length_b   3.66711006
_cell_length_c   7.40805179
_cell_angle_alpha   75.80510545
_cell_angle_beta   75.73120831
_cell_angle_gamma   60.25904388
_symmetry_Int_Tables_number   1
_chemical_formula_structural   KCrS2
_chemical_formula_sum   'K1 Cr1 S2'
_cell_volume   82.29407141
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  K  K0  1  0.28653259  0.24254954  0.48804167  1
  Cr  Cr1  1  0.78619644  0.74417297  0.98922773  1
  S  S2  1  0.51352736  0.46679795  0.81287459  1
  S  S3  1  0.05974703  1.02075689  0.16515843  1
",0.261943391308594,1.0,,,
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Pr4Zn4Ag8
Spacegroup: Cm
abc: 10.42 4.55 8.03
angles: 90.00 131.00 90.00
Sites (16)
Pr 0.050 0.000 0.015 2a
Pr 0.935 0.000 0.479 2a
Zn 0.375 0.000 0.813 2a
Zn 0.614 0.000 0.177 2a
Ag 0.778 0.000 0.577 2a
Ag 0.215 0.000 0.416 2a
Ag 0.367 0.000 0.126 2a
Ag 0.632 0.000 0.868 2a","# generated using pymatgen
data_PrZnAg2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   10.42000000
_cell_length_b   4.55000000
_cell_length_c   8.03000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   131.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrZnAg2
_chemical_formula_sum   'Pr4 Zn4 Ag8'
_cell_volume   287.32573334
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.77800000  -0.00000000  0.57700000  1
  Ag  Ag1  1  0.27800000  0.50000000  0.57700000  1
  Ag  Ag2  1  0.21500000  -0.00000000  0.41600000  1
  Ag  Ag3  1  0.71500000  0.50000000  0.41600000  1
  Ag  Ag4  1  0.36700000  -0.00000000  0.12600000  1
  Ag  Ag5  1  0.86700000  0.50000000  0.12600000  1
  Ag  Ag6  1  0.63200000  -0.00000000  0.86800000  1
  Ag  Ag7  1  0.13200000  0.50000000  0.86800000  1
  Pr  Pr8  1  0.05000000  -0.00000000  0.01500000  1
  Pr  Pr9  1  0.55000000  0.50000000  0.01500000  1
  Pr  Pr10  1  0.93500000  -0.00000000  0.47900000  1
  Pr  Pr11  1  0.43500000  0.50000000  0.47900000  1
  Zn  Zn12  1  0.37500000  -0.00000000  0.81300000  1
  Zn  Zn13  1  0.87500000  0.50000000  0.81300000  1
  Zn  Zn14  1  0.61400000  -0.00000000  0.17700000  1
  Zn  Zn15  1  0.11400000  0.50000000  0.17700000  1
",7b,1,-50.04254913330078,"# generated using pymatgen
data_PrZnAg2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   10.18773991
_cell_length_b   4.89033982
_cell_length_c   8.01058601
_cell_angle_alpha   90.21861482
_cell_angle_beta   117.94672827
_cell_angle_gamma   89.95385943
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrZnAg2
_chemical_formula_sum   'Pr4 Zn4 Ag8'
_cell_volume   352.55520559
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.00371957  -0.00060898  -0.06654799  1
  Pr  Pr1  1  0.50377686  0.49939163  -0.06647890  1
  Pr  Pr2  1  0.98460572  0.00002189  0.41656781  1
  Pr  Pr3  1  0.48455374  0.50002212  0.41653561  1
  Zn  Zn4  1  0.27537157  -0.00130722  0.78656904  1
  Zn  Zn5  1  0.77541854  0.49873227  0.78664753  1
  Zn  Zn6  1  0.64209236  0.00208470  0.21334062  1
  Zn  Zn7  1  0.14213360  0.50213507  0.21342307  1
  Ag  Ag8  1  0.70636874  0.00031891  0.57101131  1
  Ag  Ag9  1  0.20633195  0.50032544  0.57097993  1
  Ag  Ag10  1  0.31848825  -0.00001164  0.48047664  1
  Ag  Ag11  1  0.81851125  0.50001319  0.48048475  1
  Ag  Ag12  1  0.35770799  -0.00098031  0.14732501  1
  Ag  Ag13  1  0.85765112  0.49906785  0.14724019  1
  Ag  Ag14  1  0.68240717  -0.00038158  0.90433942  1
  Ag  Ag15  1  0.18240833  0.49961809  0.90436384  1
",0.0847702445378808,1.0,True,True,True
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Pr1Si1
Spacegroup: P1
abc: 4.18 4.18 4.18
angles: 90.00 90.00 90.00
Sites (2)
Pr 0.500 0.500 0.500 1a
Si 0.000 0.000 0.000 1a","# generated using pymatgen
data_PrSi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.18000000
_cell_length_b   4.18000000
_cell_length_c   4.18000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrSi
_chemical_formula_sum   'Pr1 Si1'
_cell_volume   73.03463200
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.50000000  0.50000000  0.50000000  1
  Si  Si1  1  0.00000000  0.00000000  0.00000000  1
",7b,1,-10.885259628295898,"# generated using pymatgen
data_PrSi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.67742038
_cell_length_b   3.67731428
_cell_length_c   3.67721200
_cell_angle_alpha   89.99991319
_cell_angle_beta   89.99979723
_cell_angle_gamma   90.00011277
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrSi
_chemical_formula_sum   'Pr1 Si1'
_cell_volume   49.72704993
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.49999983  0.50000011  0.50000003  1
  Si  Si1  1  -0.00000001  -0.00000001  0.00000000  1
",0.3663780346020511,221.0,,,
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Zr4
Spacegroup: P1
abc: 4.18 4.18 13.26
angles: 84.37 84.38 60.96
Sites (4)
Zr 0.645 0.740 0.550 1a
Zr 0.744 0.651 0.950 1a
Zr 0.859 0.945 0.350 1a
Zr 0.944 0.847 0.749 1a","# generated using pymatgen
data_Zr
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.18000000
_cell_length_b   4.18000000
_cell_length_c   13.26000000
_cell_angle_alpha   84.37000000
_cell_angle_beta   84.38000000
_cell_angle_gamma   60.96000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zr
_chemical_formula_sum   Zr4
_cell_volume   201.24258823
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.64500000  0.74000000  0.55000000  1
  Zr  Zr1  1  0.74400000  0.65100000  0.95000000  1
  Zr  Zr2  1  0.85900000  0.94500000  0.35000000  1
  Zr  Zr3  1  0.94400000  0.84700000  0.74900000  1
",7b,1,-34.14909362792969,"# generated using pymatgen
data_Zr
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.23510134
_cell_length_b   3.23441545
_cell_length_c   10.34935917
_cell_angle_alpha   90.24532603
_cell_angle_beta   89.73640877
_cell_angle_gamma   59.91597053
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zr
_chemical_formula_sum   Zr4
_cell_volume   93.70057230
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.62669351  0.63528579  0.52461298  1
  Zr  Zr1  1  0.64156633  0.62365391  1.02475005  1
  Zr  Zr2  1  0.95469097  0.96765858  0.27512754  1
  Zr  Zr3  1  0.97004613  0.95428697  0.77531138  1
",0.0104272230175777,2.0,,,
