gen_str,cif,model_name,spacegroup_number,relaxed_energy,relaxed_cif,e_above_hull,actual_spacegroup
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 In4
Spacegroup: P1
abc: 4.75 4.76 4.76
angles: 95.78 119.52 90.31
Sites (4)
In 0.250 0.251 0.000 1a
In 0.750 0.251 0.500 1a
In 0.000 0.500 0.500 1b
In 0.500 0.501 0.000 1a","# generated using pymatgen
data_In
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.75000000
_cell_length_b   4.76000000
_cell_length_c   4.76000000
_cell_angle_alpha   95.78000000
_cell_angle_beta   119.52000000
_cell_angle_gamma   90.31000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   In
_chemical_formula_sum   In4
_cell_volume   92.98773885
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  In  In0  1  0.25000000  0.25100000  -0.00000000  1
  In  In1  1  0.75000000  0.25100000  0.50000000  1
  In  In2  1  0.00000000  0.50000000  0.50000000  1
  In  In3  1  0.50000000  0.50100000  0.00000000  1
",7b,1,-10.871089935302734,"# generated using pymatgen
data_In
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.09105385
_cell_length_b   4.51854638
_cell_length_c   4.74572999
_cell_angle_alpha   90.84476025
_cell_angle_beta   93.23548628
_cell_angle_gamma   92.42682385
_symmetry_Int_Tables_number   1
_chemical_formula_structural   In
_chemical_formula_sum   In4
_cell_volume   108.88370373
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  In  In0  1  0.12385663  0.12565690  0.00084114  1
  In  In1  1  0.62281420  0.12525357  0.50224857  1
  In  In2  1  1.12649048  0.62599684  0.49799239  1
  In  In3  1  0.62683869  0.62609269  -0.00108211  1
",0.0339112461743162,11
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 In4Ag4
Spacegroup: P1
abc: 4.36 4.41 14.48
angles: 88.76 89.12 60.18
Sites (8)
In 0.545 0.548 0.132 1a
In 0.044 0.048 0.632 1a
In 0.545 0.548 0.632 1a
In 0.044 0.048 0.132 1a
Ag 0.043 0.952 0.369 1a
Ag 0.444 0.450 0.869 1a
Ag 0.953 0.551 0.369 1a
Ag 0.552 0.049 0.869 1a","# generated using pymatgen
data_InAg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.36000000
_cell_length_b   4.41000000
_cell_length_c   14.48000000
_cell_angle_alpha   88.76000000
_cell_angle_beta   89.12000000
_cell_angle_gamma   60.18000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   InAg
_chemical_formula_sum   'In4 Ag4'
_cell_volume   241.49120943
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.04300000  0.95200000  0.36900000  1
  Ag  Ag1  1  0.44400000  0.45000000  0.86900000  1
  Ag  Ag2  1  0.95300000  0.55100000  0.36900000  1
  Ag  Ag3  1  0.55200000  0.04900000  0.86900000  1
  In  In4  1  0.54500000  0.54800000  0.13200000  1
  In  In5  1  0.04400000  0.04800000  0.63200000  1
  In  In6  1  0.54500000  0.54800000  0.63200000  1
  In  In7  1  0.04400000  0.04800000  0.13200000  1
",7b,1,-21.849231719970703,"# generated using pymatgen
data_InAg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.97318501
_cell_length_b   4.83960362
_cell_length_c   9.33153414
_cell_angle_alpha   82.58884654
_cell_angle_beta   90.18521679
_cell_angle_gamma   88.50321369
_symmetry_Int_Tables_number   1
_chemical_formula_structural   InAg
_chemical_formula_sum   'In4 Ag4'
_cell_volume   177.86909055
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.41423663  0.88751705  0.37155910  1
  Ag  Ag1  1  0.06705798  0.56881339  0.87399980  1
  Ag  Ag2  1  0.89689700  0.38132153  0.37463285  1
  Ag  Ag3  1  0.57340354  0.07393892  0.87510058  1
  In  In4  1  0.52366670  0.60063720  0.11575674  1
  In  In5  1  0.08842437  0.04154940  0.63698762  1
  In  In6  1  0.58447585  0.54096454  0.63553611  1
  In  In7  1  0.02183796  0.09925796  0.12042720  1
",0.0849917634758843,1
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 Al4Ni4
Spacegroup: P1
abc: 3.47 5.24 5.24
angles: 71.41 70.38 70.38
Sites (8)
Al 0.240 0.740 0.740 1a
Al 0.740 0.259 0.259 1a
Al 0.250 0.240 0.741 1a
Al 0.749 0.759 0.241 1a
Ni 0.517 0.492 0.492 1a
Ni 0.993 0.989 0.989 1a
Ni 0.501 0.507 0.993 1a
Ni 0.997 0.012 0.507 1a","# generated using pymatgen
data_AlNi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.47000000
_cell_length_b   5.24000000
_cell_length_c   5.24000000
_cell_angle_alpha   71.41000000
_cell_angle_beta   70.38000000
_cell_angle_gamma   70.38000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlNi
_chemical_formula_sum   'Al4 Ni4'
_cell_volume   82.22433783
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.24000000  0.74000000  0.74000000  1
  Al  Al1  1  0.74000000  0.25900000  0.25900000  1
  Al  Al2  1  0.25000000  0.24000000  0.74100000  1
  Al  Al3  1  0.74900000  0.75900000  0.24100000  1
  Ni  Ni4  1  0.51700000  0.49200000  0.49200000  1
  Ni  Ni5  1  0.99300000  0.98900000  0.98900000  1
  Ni  Ni6  1  0.50100000  0.50700000  0.99300000  1
  Ni  Ni7  1  0.99700000  0.01200000  0.50700000  1
",7b,1,-43.3468132019043,"# generated using pymatgen
data_AlNi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.91071251
_cell_length_b   6.46488597
_cell_length_c   5.73558728
_cell_angle_alpha   90.08931907
_cell_angle_beta   89.99564426
_cell_angle_gamma   63.32166226
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlNi
_chemical_formula_sum   'Al4 Ni4'
_cell_volume   96.43883726
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  -0.12657163  0.75059536  0.74638997  1
  Al  Al1  1  0.37219734  0.25081259  0.24627503  1
  Al  Al2  1  0.37411809  0.24879365  0.74401283  1
  Al  Al3  1  0.87383829  0.74888279  0.24431137  1
  Ni  Ni4  1  0.62057350  0.50169633  0.49604725  1
  Ni  Ni5  1  1.12090092  1.00163471  0.99604827  1
  Ni  Ni6  1  0.62610379  0.49775713  0.99445932  1
  Ni  Ni7  1  1.12583972  -0.00217257  0.49445598  1
",0.0033445997619629,10
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 Al1Pt1
Spacegroup: P1
abc: 2.92 2.92 4.90
angles: 89.89 89.49 60.23
Sites (2)
Al 0.996 0.985 0.252 1a
Pt 0.516 0.480 0.748 1a","# generated using pymatgen
data_AlPt
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.92000000
_cell_length_b   2.92000000
_cell_length_c   4.90000000
_cell_angle_alpha   89.89000000
_cell_angle_beta   89.49000000
_cell_angle_gamma   60.23000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlPt
_chemical_formula_sum   'Al1 Pt1'
_cell_volume   36.26396487
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.99600000  0.98500000  0.25200000  1
  Pt  Pt1  1  0.51600000  0.48000000  0.74800000  1
",7b,1,-11.676092147827148,"# generated using pymatgen
data_AlPt
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.01102898
_cell_length_b   3.05710660
_cell_length_c   3.20991612
_cell_angle_alpha   90.06115759
_cell_angle_beta   90.05860713
_cell_angle_gamma   90.22906028
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlPt
_chemical_formula_sum   'Al1 Pt1'
_cell_volume   29.54712676
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  1.00619247  0.98267525  0.24985236  1
  Pt  Pt1  1  0.50580751  0.48232477  0.75014764  1
",0.1127328048364262,47
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 Al4Mo1
Spacegroup: P1
abc: 3.65 3.65 7.19
angles: 84.94 84.99 61.01
Sites (5)
Al 0.005 0.994 0.244 1a
Al 0.502 0.500 0.748 1a
Al 0.998 0.498 0.749 1a
Al 0.504 0.001 0.250 1a
Mo 0.500 0.999 0.750 1a","# generated using pymatgen
data_Al4Mo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.65000000
_cell_length_b   3.65000000
_cell_length_c   7.19000000
_cell_angle_alpha   84.94000000
_cell_angle_beta   84.99000000
_cell_angle_gamma   61.01000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al4Mo
_chemical_formula_sum   'Al4 Mo1'
_cell_volume   83.35099436
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.00500000  0.99400000  0.24400000  1
  Al  Al1  1  0.50200000  0.50000000  0.74800000  1
  Al  Al2  1  0.99800000  0.49800000  0.74900000  1
  Al  Al3  1  0.50400000  0.00100000  0.25000000  1
  Mo  Mo4  1  0.50000000  0.99900000  0.75000000  1
",7b,1,-26.027782440185547,"# generated using pymatgen
data_Al4Mo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.91630232
_cell_length_b   5.11257090
_cell_length_c   5.10998329
_cell_angle_alpha   70.46085479
_cell_angle_beta   54.60543523
_cell_angle_gamma   54.65249923
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al4Mo
_chemical_formula_sum   'Al4 Mo1'
_cell_volume   102.77137992
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.00548618  0.98613897  0.24071006  1
  Al  Al1  1  0.51875271  0.49163642  0.73401293  1
  Al  Al2  1  0.99777127  0.50473250  0.76222568  1
  Al  Al3  1  0.48482272  0.01127322  0.25594752  1
  Mo  Mo4  1  0.50216711  0.99821889  0.74810380  1
",0.2785694407321202,23
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 Al1Cu1
Spacegroup: P1
abc: 2.64 2.64 3.76
angles: 74.98 74.98 60.38
Sites (2)
Al 0.398 0.399 0.562 1a
Cu 0.804 0.802 0.438 1a","# generated using pymatgen
data_AlCu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.64000000
_cell_length_b   2.64000000
_cell_length_c   3.76000000
_cell_angle_alpha   74.98000000
_cell_angle_beta   74.98000000
_cell_angle_gamma   60.38000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlCu
_chemical_formula_sum   'Al1 Cu1'
_cell_volume   21.73314401
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.39800000  0.39900000  0.56200000  1
  Cu  Cu1  1  0.80400000  0.80200000  0.43800000  1
",7b,1,-8.073702812194824,"# generated using pymatgen
data_AlCu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.76632084
_cell_length_b   2.76700292
_cell_length_c   4.44682551
_cell_angle_alpha   71.38988574
_cell_angle_beta   71.40137245
_cell_angle_gamma   60.25298080
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlCu
_chemical_formula_sum   'Al1 Cu1'
_cell_volume   27.46864709
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.35149408  0.35056399  0.75002516  1
  Cu  Cu1  1  0.85050592  0.85043602  0.24997483  1
",0.0989677919025879,12
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 Al4
Spacegroup: P1
abc: 3.13 3.13 12.18
angles: 89.96 89.96 60.03
Sites (4)
Al 0.250 0.749 0.875 1a
Al 0.250 0.749 0.375 1a
Al 0.750 0.251 0.875 1a
Al 0.750 0.250 0.375 1a","# generated using pymatgen
data_Al
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.13000000
_cell_length_b   3.13000000
_cell_length_c   12.18000000
_cell_angle_alpha   89.96000000
_cell_angle_beta   89.96000000
_cell_angle_gamma   60.03000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al
_chemical_formula_sum   Al4
_cell_volume   103.37074868
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.25000000  0.74900000  0.87500000  1
  Al  Al1  1  0.25000000  0.74900000  0.37500000  1
  Al  Al2  1  0.75000000  0.25100000  0.87500000  1
  Al  Al3  1  0.75000000  0.25000000  0.37500000  1
",7b,1,-11.166071891784668,"# generated using pymatgen
data_Al
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.73633039
_cell_length_b   3.73646788
_cell_length_c   12.17999980
_cell_angle_alpha   89.96821027
_cell_angle_beta   89.96821222
_cell_angle_gamma   90.09784911
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al
_chemical_formula_sum   Al4
_cell_volume   170.04076084
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.25019469  0.75018883  0.87500000  1
  Al  Al1  1  0.25009727  0.74959490  0.37500000  1
  Al  Al2  1  0.74980531  0.24981118  0.87500000  1
  Al  Al3  1  0.74990273  0.24940511  0.37500000  1
",0.954057857053833,123
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 Al1Ga1
Spacegroup: P1
abc: 4.37 4.37 4.37
angles: 89.86 89.87 89.92
Sites (2)
Al 0.500 0.501 0.502 1a
Ga 0.999 0.999 0.999 1a","# generated using pymatgen
data_AlGa
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.37000000
_cell_length_b   4.37000000
_cell_length_c   4.37000000
_cell_angle_alpha   89.86000000
_cell_angle_beta   89.87000000
_cell_angle_gamma   89.92000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlGa
_chemical_formula_sum   'Al1 Ga1'
_cell_volume   83.45290836
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.50000000  0.50100000  0.50200000  1
  Ga  Ga1  1  0.99900000  0.99900000  0.99900000  1
",7b,1,-6.593101978302002,"# generated using pymatgen
data_AlGa
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.28368332
_cell_length_b   3.28368734
_cell_length_c   3.28368948
_cell_angle_alpha   89.81103453
_cell_angle_beta   89.82540122
_cell_angle_gamma   89.89237619
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlGa
_chemical_formula_sum   'Al1 Ga1'
_cell_volume   35.40625643
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.50007063  0.50113186  0.50219307  1
  Ga  Ga1  1  0.99892937  0.99886814  0.99880693  1
",0.0902849370989988,1
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 Al2Cr6
Spacegroup: P1
abc: 4.40 4.87 5.66
angles: 85.64 74.68 63.52
Sites (8)
Al 0.869 0.557 0.742 1a
Al 0.139 0.438 0.259 1a
Cr 0.339 0.917 0.759 1a
Cr 0.657 0.090 0.250 1a
Cr 0.734 0.699 0.035 1a
Cr 0.277 0.312 0.974 1a
Cr 0.439 0.193 0.550 1a
Cr 0.573 0.801 0.456 1a","# generated using pymatgen
data_AlCr3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.40000000
_cell_length_b   4.87000000
_cell_length_c   5.66000000
_cell_angle_alpha   85.64000000
_cell_angle_beta   74.68000000
_cell_angle_gamma   63.52000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlCr3
_chemical_formula_sum   'Al2 Cr6'
_cell_volume   104.57841998
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.86900000  0.55700000  0.74200000  1
  Al  Al1  1  0.13900000  0.43800000  0.25900000  1
  Cr  Cr2  1  0.33900000  0.91700000  0.75900000  1
  Cr  Cr3  1  0.65700000  0.09000000  0.25000000  1
  Cr  Cr4  1  0.73400000  0.69900000  0.03500000  1
  Cr  Cr5  1  0.27700000  0.31200000  0.97400000  1
  Cr  Cr6  1  0.43900000  0.19300000  0.55000000  1
  Cr  Cr7  1  0.57300000  0.80100000  0.45600000  1
",7b,1,-66.03801727294922,"# generated using pymatgen
data_AlCr3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.09991945
_cell_length_b   4.10217179
_cell_length_c   7.08780944
_cell_angle_alpha   89.87291493
_cell_angle_beta   73.17987956
_cell_angle_gamma   60.00940491
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlCr3
_chemical_formula_sum   'Al2 Cr6'
_cell_volume   97.35960115
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.87445955  0.56263624  0.69909618  1
  Al  Al1  1  0.13229719  0.43910373  0.30715984  1
  Cr  Cr2  1  0.12115652  0.93957926  0.82879992  1
  Cr  Cr3  1  0.88563704  0.06216535  0.17744772  1
  Cr  Cr4  1  0.61618562  0.69628399  0.08191739  1
  Cr  Cr5  1  0.39054199  0.30548076  0.92434644  1
  Cr  Cr6  1  0.64244405  0.18020440  0.54565213  1
  Cr  Cr7  1  0.36427808  0.82154625  0.46058035  1
",0.0135027508813507,12
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 Al4Fe4Si4
Spacegroup: P1
abc: 4.56 5.01 6.35
angles: 86.79 87.25 75.33
Sites (12)
Al 0.995 0.894 0.288 1a
Al 0.502 0.626 0.443 1a
Al 0.489 0.387 0.555 1a
Al 0.997 0.104 0.711 1a
Fe 0.507 0.856 0.598 1a
Fe 0.006 0.692 0.763 1a
Fe 0.489 0.396 0.262 1a
Fe 0.997 0.144 0.406 1a
Si 0.994 0.345 0.028 1a
Si 0.495 0.089 0.170 1a
Si 0.500 0.912 0.835 1a
Si 0.002 0.656 0.974 1a","# generated using pymatgen
data_AlFeSi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.56000000
_cell_length_b   5.01000000
_cell_length_c   6.35000000
_cell_angle_alpha   86.79000000
_cell_angle_beta   87.25000000
_cell_angle_gamma   75.33000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlFeSi
_chemical_formula_sum   'Al4 Fe4 Si4'
_cell_volume   140.03436458
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.99500000  0.89400000  0.28800000  1
  Al  Al1  1  0.50200000  0.62600000  0.44300000  1
  Al  Al2  1  0.48900000  0.38700000  0.55500000  1
  Al  Al3  1  0.99700000  0.10400000  0.71100000  1
  Fe  Fe4  1  0.50700000  0.85600000  0.59800000  1
  Fe  Fe5  1  0.00600000  0.69200000  0.76300000  1
  Fe  Fe6  1  0.48900000  0.39600000  0.26200000  1
  Fe  Fe7  1  0.99700000  0.14400000  0.40600000  1
  Si  Si8  1  0.99400000  0.34500000  0.02800000  1
  Si  Si9  1  0.49500000  0.08900000  0.17000000  1
  Si  Si10  1  0.50000000  0.91200000  0.83500000  1
  Si  Si11  1  0.00200000  0.65600000  0.97400000  1
",7b,1,-72.61693572998047,"# generated using pymatgen
data_AlFeSi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.72649407
_cell_length_b   5.30504788
_cell_length_c   6.50371456
_cell_angle_alpha   89.41488918
_cell_angle_beta   93.81620322
_cell_angle_gamma   76.36281099
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlFeSi
_chemical_formula_sum   'Al4 Fe4 Si4'
_cell_volume   158.07070091
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  1.09063683  0.77629298  0.39352996  1
  Al  Al1  1  0.65300734  0.48357401  0.40023529  1
  Al  Al2  1  0.42608985  0.33915548  0.74170481  1
  Al  Al3  1  0.98209864  0.11250380  0.67124115  1
  Fe  Fe4  1  0.53916071  0.94766119  0.53873415  1
  Fe  Fe5  1  -0.08255156  0.59388795  0.73386478  1
  Fe  Fe6  1  0.33178105  0.50050686  0.08079574  1
  Fe  Fe7  1  1.18271559  0.29734176  0.38204282  1
  Si  Si8  1  0.88415650  0.35001889  0.04117933  1
  Si  Si9  1  0.51793151  0.03992612  0.18076186  1
  Si  Si10  1  0.47914097  0.79203464  0.86466543  1
  Si  Si11  1  -0.03116737  0.86809621  1.00424483  1
",0.243785876719019,1
